Timestamp: 2023-06-19T11:10:27+08:00
Carpark Number,Total Lots,Lots Available
J45,361,249
TM25,128,70
TM26,124,75
TM27,239,190
J37,269,170
BM1,60,20
BM2,53,1
BM26,460,238
BWM,220,110
TBMT,150,50
TPM,384,104
U29,338,290
U27,20,0
U18,312,183
U30,143,110
SK48,50,50
TE25,298,107
TE3,19,0
TE4,30,0
U28,15,0
A15,59,3
BM28,51,2
BM30,46,2
BTM,284,125
BTM2,496,328
SAM2,334,165
TBM2,243,242
TJ34,350,299
U31,348,260
BL13,413,310
HG10,248,65
W3,1000,217
BJ65,224,146
CK19,70,31
CK4,10,8
CK42,453,302
CK7,298,233
TW1,108,45
TW2,355,195
TW3,338,203
SK49,120,10
B16,364,174
B17,385,151
B20,385,225
B42,123,49
B45,67,5
B6,521,278
B63,99,2
B65,756,463
B7,86,0
B70,41,30
B71,249,147
B7A,129,0
B8,113,36
B80,250,218
B84,555,503
B90,75,75
CC5,104,59
CC6,41,6
B30,353,185
B31,415,278
TJ28,755,603
TJ31,833,622
TJ37,384,384
AM16,115,87
AM32,91,44
BJ2,385,222
CK48,287,195
BE8,544,329
SE11,198,0
SE20,548,441
SE21,29,3
SE22,20,0
SE23,185,129
SE24,167,27
SE53,309,267
SK50,89,0
FR4M,88,33
BJ31,88,57
BJ32,484,390
BJ34,140,106
BJ35,140,101
BJ36,140,102
BJ37,512,393
TP31,50,0
BJ38,216,163
BJ39,550,465
BJ40,585,423
CK38,344,233
A38,938,548
A43,141,61
CK8,750,527
CK8A,373,321
CK39,371,238
CK41,444,320
CK46,673,485
CK47,695,533
SE32,396,242
SE33,302,166
SE39,198,88
BJ43,1004,847
CK22,378,234
CK36,420,311
CK37,306,208
A25,543,364
A81,118,52
A82,201,125
A9,146,77
A98,108,79
BJ55,873,723
BJ56,554,419
CK44,285,217
CK45,220,129
SE35,300,204
SE38,300,186
SE40,407,281
BJ30,611,491
CK16,202,108
CK49,767,578
CK50,374,248
CKT1,104,70
CK51,318,225
CK12,218,141
CK13,326,221
CK17,185,114
CK30,136,89
CK31,290,212
BJ41,389,280
CK20,931,616
CK23,232,143
CK34,318,215
CKM1,669,573
BJ1,457,301
BJ48,672,489
CK33,235,158
A37,193,39
A39,200,107
A68,158,70
A70,134,57
A71,185,56
CK40,500,409
A40,520,384
A66,149,84
A69,476,368
A30,12,0
AM80,191,118
AM81,222,170
CC7,220,137
B88,385,235
H87L,500,483
B66,585,400
B53,197,99
B52,300,175
B51,322,236
NT6L,6,0
TWM6,224,163
B35,197,127
B34,274,207
B33,129,88
B32,124,86
KB17,50,1
KB10,164,21
KB11,209,111
SD9,41,21
W54,267,183
BE23,563,403
Y52M,361,265
Y9,262,173
Y20,60,1
Y10,1145,825
PM30,351,207
PM3,388,271
TWM3,1000,900
CK61,1272,1146
CK60,1318,1204
SK91,381,273
SK75,167,167
SK74,225,155
SK88,369,369
SK71,233,128
SK43,317,246
SK70,162,103
SK92,296,212
SK80,354,244
SK72,200,123
SK73,208,161
SK83,94,57
SK86,374,285
SK78,264,264
SK68,233,137
SK3,700,525
SK58,1164,867
SK62,646,473
SK87,113,84
CK3A,517,458
CK3,282,204
CK55,356,209
CK29,26,20
CK28,184,145
AM22,289,171
AM20,676,519
AM18,451,265
A20,83,0
A65,97,71
A60,517,359
A50,206,103
HG22,116,37
CK25,161,95
CK24,48,21
STAM,274,159
AM79,472,343
A34,220,113
AM96,525,363
A85,93,56
A72,358,239
A67,712,489
SK51,10,0
BMVM,361,304
HE3,148,0
TB2,51,0
JKM,360,0
JKS,42,2
SPM,719,709
FR2C,256,103
GM1A,414,228
AR5M,419,270
AR9,64,0
C5,361,155
C9,316,102
U46,241,139
U15,419,267
U3,159,63
U32,128,85
B75,329,277
U38,115,46
U10,214,133
C8,347,274
J60M,543,406
J38,27,0
UBKM,343,229
UBK2,287,23
UBK5,143,100
NT7L,4,0
U17,427,170
U4,259,119
U1,516,317
TGML,4,1
BRBL,11,4
BL18,391,318
BRB1,168,68
J61,779,543
J73,713,507
J74,367,232
U39,248,215
U40,288,251
U41,30,0
C3M,882,255
C4M,392,242
J70,147,74
J75M,326,229
JM15,490,433
JM18,559,457
C24,450,60
C27,16,0
KTM5,512,486
KTM6,252,248
BP2,466,252
BBM3,1210,855
BBM5,951,663
U33,290,186
U34,303,189
J84M,285,215
J85M,166,91
Q84,260,146
Q87,430,105
Q89,435,80
BM5,46,3
TB1,58,7
TB3,154,127
TB9,77,12
TBC3,106,0
C26,35,0
C25,154,51
C22M,188,160
JM7,1165,983
JM30,754,616
J72,220,131
J69,222,132
JM23,793,227
JM19,1176,879
U43,270,175
NT7,383,288
W21,495,261
W24,557,298
M25,424,282
M3,126,77
M4,470,328
MM1,176,138
MM2,563,485
MM4,288,216
UA2,73,23
UA3,245,137
UA5,337,201
UAM1,466,343
JM31,180,117
BBM9,1200,806
C21M,383,175
U13,661,437
C13M,280,110
C12,323,135
C14M,212,95
C10,767,280
BL10,239,162
BL19,369,294
BL3,196,116
J50,427,245
J60L,10,2
J62,700,0
J62M,200,172
J63,150,83
J65,1083,745
J71,450,271
J76M,415,315
J77M,350,264
J78M,458,285
J79M,337,236
J80M,441,329
J81M,466,304
J82M,535,199
J83M,172,119
J86M,191,142
J88M,603,487
J89M,591,478
J98M,489,416
J99M,502,435
JM10,367,285
JM13,1061,876
JM22,538,534
JM25,1033,850
JM28,1302,1101
JM29,641,387
TBM3,385,318
TBM4,503,346
BJ49,1481,1135
Y11,678,439
Y8,697,458
Y13,262,165
Y3,403,262
Y3M,206,124
Y39,224,129
Y48,485,308
Y48M,257,217
Y15,335,158
Y4,807,494
Y27,286,178
Y49,566,337
Y21M,367,274
Y28,297,188
Y28M,375,282
Y33,101,40
Y49M,267,202
Y49L,19,8
U71,89,71
Y7,667,390
Y57,18,0
Y21,77,11
SB19,789,585
SB24,387,202
S19L,4,3
S24L,2,0
SB2,383,310
SB16,714,584
SB26,1401,1156
SB27,395,283
SB28,498,341
SB3,359,267
SB15,1549,1314
SB4,272,208
SB5,395,308
SB18,644,401
SB21,1454,1158
SB29,628,518
SB30,922,842
SB31,202,143
SB23,550,436
SB22,715,580
SB34,63,33
SK36,1336,1049
SK37,538,342
SK42,465,286
SK23,674,547
SK10,394,305
SK19,609,470
SK20,283,188
SK11,362,268
SK45,556,446
SK4,593,487
SK77,412,245
SK16,429,304
SK63,494,361
SK7,539,432
MR4,35,2
CR7,183,41
KB4,408,247
JRM,280,108
SD5,64,9
KB12,181,18
UBK4,53,28
SD2,29,0
SDM2,135,32
SG3,143,84
NBRM,395,152
SG2,103,69
SDM,192,161
SD3,102,0
W107,50,26
W30,285,130
W28,27,0
W44,245,125
W45,324,212
W7,128,9
W19,322,127
W780,350,245
W101,486,412
W13,272,166
W48,291,206
W102,452,347
W37,50,21
W52,285,171
W64,352,269
W17,411,238
W18,563,342
W58,382,317
W5,355,284
W5M,213,145
W23,628,385
W40,304,182
W49,833,575
W50,254,201
W51,304,242
W36,539,335
W10,116,84
W6,57,18
W181,275,184
W14,328,210
PM6,412,249
PM17,398,254
PM14,428,287
PM29,412,274
PM16,245,165
PM18,247,161
PM11,227,147
PM7,239,153
PM13,435,256
PM45,522,326
PM41,359,234
PR1,301,152
PM19,437,341
PM40,267,166
PM37,293,134
PM36,671,434
SK93,472,381
SK2,360,280
SK60,867,692
SK15,1358,1066
SK17,677,539
SK12,354,260
W4,75,30
SK22,507,409
SK21,653,509
SK13,355,243
SK6,473,415
CK52,2064,1905
P1,314,231
P2,293,191
P3,658,490
P4,411,259
P5,520,347
P5L,4,0
P6,547,410
P6L,6,6
PL14,741,584
PL15,500,406
PL25,283,197
PL29,298,201
PL30,204,109
PL31,222,112
PL32,203,138
PL33,48,13
PL39,430,295
PL40,243,132
PL41,458,284
PL42,598,419
PL44,55,21
PL45,354,214
PL46,428,266
PL48,476,284
J10,175,119
J11,129,108
CK32,433,355
BJ51,553,417
BJ52,319,224
SK25,407,328
SK26,430,361
SK32,528,432
SK33,546,535
HG11,817,449
PL68,366,263
PL69,699,521
MLM,277,182
CR2,33,11
CR3,30,2
W57,483,330
BE36,82,25
BE37,402,308
BE38,31,0
BE42,852,635
BE7,119,57
SE13,421,295
SE16,674,391
SM1,89,0
SM3,149,104
JB3,33,11
JB4,147,90
K2,95,0
K2T,73,69
KM2,177,78
KM3,535,337
TRS,269,262
ACM,290,178
GE1A,792,424
GE1F,50,3
GE1G,45,3
GE2,194,86
GE3,355,173
GE5,253,65
JB1,70,10
JB2,55,0
K7,159,21
KM4,429,314
LT1,260,99
LT2,74,6
LT3,244,44
M1,312,134
M32,352,145
MP1,159,42
MP17,87,49
MP2,616,134
MP5,162,125
MP5M,159,14
MP5S,33,1
MP6,76,42
MP7,212,78
SK9,456,448
SK14,444,444
BE10,625,392
BE11,352,219
BE13,220,155
BE14,332,220
BE26,65,38
BE27,344,237
BE28,304,149
BE29,48,16
BE30,345,268
BE31,300,265
BE32,200,119
BE4,770,492
BE5,647,409
BE6,170,138
BE9,711,468
CLM,245,170
BM14,94,34
BM19,36,4
BM20,60,36
BM4,150,81
BM6,30,0
BVM2,504,408
CM1,962,687
H12,356,176
H14,220,117
H3,148,16
H8,82,62
HCM,386,309
HE1,21,4
HE19,93,41
HE24,37,2
HE4,124,4
JMB1,492,324
JRTM,433,305
KTM,247,72
KTM2,429,213
KTM3,465,341
KTM4,380,227
LBM,169,105
PP9T,131,88
RHM2,222,128
RHM3,646,520
RHM4,282,95
RHS,12,0
HG30,433,331
HG31,85,51
HG32,270,156
HG39,204,152
HG47,432,304
HG48,837,558
HG49,776,500
HG50,490,268
HG51,204,132
HG52,192,89
HG54,240,116
HG55,88,27
HG60,371,296
HG61,311,219
HG62,345,291
HG67,705,448
HG68,248,178
HG69,187,106
HG7,757,454
HG70,348,236
HG76,270,170
HG77,423,336
HG78,490,383
HG79,401,293
HG89,387,331
HG94,896,711
HG95,168,123
HG96,39,16
HG97,43,2
HG99,162,97
J12,243,12
J14,192,71
J15,205,132
J16,212,85
J18,171,120
J22,231,123
J23,299,180
J23M,249,156
J8,377,236
J9,189,96
J90,1294,994
J91,587,436
J92,447,358
J93,483,369
J94,421,324
J95,467,347
J96,444,288
J97,411,324
BBM2,285,173
U12,773,501
CK56,1023,914
CK57,590,460
U51,350,327
B59,386,248
B60,272,187
B97,553,389
CC12,131,32
SK39,517,378
SK81,200,200
P40L,6,0
PM10,355,212
PM25,508,340
PR7,218,66
MR5,105,16
MR6,105,45
MR7,105,45
SG1,294,180
SGLM,230,165
W4M,355,294
W59,434,287
W554,376,295
W549,429,322
W81,300,226
SK28,460,342
W586,360,290
W588,358,239
SK29,526,120
W26,20,0
W27,4,0
PM8,330,237
PR8,158,100
SK69,264,181
AH1,278,143
BR14,78,45
RC1,164,103
TP12,82,11
TP15,85,55
TP20,90,55
TP22,183,125
TP3,215,145
TP30,31,0
TP34,187,79
TP3A,200,120
TP40,360,201
TP41,134,72
TP43,114,4
TP48,20,6
TP52,456,233
TP53,323,219
TP54,256,186
TP60,275,151
TP62,162,111
TP63,114,66
TP67,183,91
TP7,187,126
TP8,189,112
TPB1,200,95
TPM2,211,93
TPM3,370,293
TPM7,200,99
TPM8,800,565
TPM9,852,840
TPMA,505,368
TPMB,601,497
TPMC,633,490
TPMD,145,112
TPME,172,111
TPMF,458,314
TPMH,246,172
TPMJ,657,463
TPMK,173,105
TPML,266,163
TPMM,259,150
SK24,779,100
HG17,225,126
HG75,823,717
HG86,404,311
HG92,1010,888
Q86,320,150
Q19,20,0
MLM1,200,63
STM1,148,68
STM2,199,145
STM3,100,0
Q88,218,101
Q8,149,66
CDM,343,212
PL16,153,109
PL19,291,174
PL24,749,639
PL38,399,297
PL50,192,131
PL51,321,222
CK2,464,324
A28,84,39
A31,310,181
A44,157,85
A27,251,173
A75,354,247
SE41,754,592
A2,188,138
A94,234,162
HG1D,175,116
CK54,628,486
HE17,120,102
SPS,98,60
TB10,213,23
TB11,154,20
TB22,20,1
TB23,50,46
TB28,18,0
TB4A,46,40
TB6,133,75
TB7,194,129
TB8,85,54
TBCM,593,252
TE1,90,9
YHS,64,41
JM5,1399,1115
JM6,702,480
JM8,478,364
JM9,345,269
TJ27,223,158
TJ29,306,298
TJ30,745,570
TJ32,543,375
TJ33,441,322
TJ36,305,237
TP4A,296,154
CV1,208,137
CV3,86,60
PM32,453,326
PM33,448,291
PM34,441,286
Y19,1178,814
Y18,247,156
Y26,304,230
S28L,8,8
CV2,31,9
S30L,24,0
SK30,426,363
SK31,618,517
SK38,656,492
SK59,17,2
W79,490,396
W80,322,262
W87,401,322
W88,443,354
W92,389,300
SK94,520,393
SD4,41,10
PM12,173,117
MP3M,400,125
MP4M,302,301
PM38,248,171
EPL,18,0
B86,160,104
MP2M,616,245
W799,400,341
BE25,263,205
BE33,269,171
L1,178,87
SE15,486,369
SE17,436,237
SE18,279,156
SE19,558,363
SE25,239,135
SE26,214,148
SE27,380,252
SE28,186,138
SE29,333,211
SH2,173,139
W43,323,203
HG5,149,106
W46,407,303
TP68,21,17
DUXM,1095,244
TP49,296,158
TP50,296,159
SI1,337,175
SI11,208,139
SI12,168,129
SIM1,317,237
SIM2,314,230
SIM3,236,160
T34,284,178
T35,630,417
T4,301,170
T75,231,141
T80,348,239
TM11,446,316
TM12,350,247
TM13,209,167
TM14,365,237
TM17,448,293
TM18,312,174
TM21,338,238
TM22,345,265
TM28,289,181
TM29,267,175
TM3,428,328
TM30,408,318
TM31,826,532
TM32,460,283
TM4,1218,838
TM49,197,74
TM5,501,245
PL23,445,349
PL27,407,303
PL34,277,204
PL35,234,167
PL37,286,209
P34L,80,38
P35L,10,10
SI2,647,444
SI4,461,329
T32,645,409
B28,342,240
SIM5,235,154
TWM1,776,695
A52,150,0
A53,757,580
A54,767,0
AM51,269,148
B47,234,188
B48,210,129
J21,702,418
SM9,28,0
SK41,113,0
HG2,229,151
HG2B,323,259
HG4,407,261
GSM,200,44
KEM1,200,95
BR8,127,79
BR6,131,52
BR10,59,0
GSML,22,11
CK53,450,328
HG73,1052,921
W106,709,607
W104,696,565
W105,126,77
CK10,395,313
CK9,45,10
EC2,809,528
EC3,44,0
EC4,119,36
ECM,407,278
M33,125,83
CK59,458,352
CKM9,273,216
W782,383,296
SK5,668,655
PL18,615,499
PL21,615,510
PL43,417,277
PL59,669,438
PL52,587,452
PL65,466,312
W12M,459,329
W93,447,367
PM26,449,317
BJ14,63,8
BJ15,37,0
BJ16,311,228
BJ23,16,0
BJ44,994,845
BJMP,60,48
SG4,146,93
Y12,619,395
EC7,127,64
Y62M,242,180
Q68,34,15
Q65,103,48
SK89,401,191
AR1M,196,126
A35,555,389
A45,397,281
A48,66,37
A64,132,77
TB19,100,58
Y5,230,158
Q77M,607,405
Q80,31,0
Q85,148,69
W570,341,240
TB17,366,163
TBM5,423,326
TBM6,400,343
TBM7,529,419
PM23,380,320
PR13,365,222
SK95,573,414
SK90,508,365
EC8,163,119
Y6,366,212
Y58,41,19
A87,124,94
A41,308,215
A42,146,97
HG19,568,350
HG20,590,390
HG23,282,166
W82,450,373
W95,464,382
SB33,388,304
Y41,478,294
Y41M,344,267
J6,318,217
J7,938,568
W85,515,433
SK85,351,118
SI10,266,177
SI6,39,25
SI7,359,179
SI8,115,81
SI9,179,93
T20,380,254
T30,223,154
T31,205,130
T79,456,292
T81,685,479
TM15,299,213
TM16,284,192
TM44,216,179
Q17,26,15
Q96,237,120
HG74,316,228
B41,26,12
B43,217,140
B46,70,54
B49,183,119
B72,412,236
B73,50,40
B74,365,257
B7B,21,11
B83,212,149
B85,559,440
B94,438,330
B94A,186,112
B99M,508,373
CC1,87,87
CC10,228,159
CC11,417,296
CC4,387,179
CC8,147,64
CC9,117,81
PL10,560,310
PL11,548,403
PL28,363,305
BR4,321,180
Q75M,509,328
C18A,36,4
C16,280,142
C18,124,72
AR2M,696,299
AR7M,295,194
W68,300,207
BL15,20,0
Q16,10,7
T26,293,24
T27,136,91
T28,228,178
T29,256,167
TM8,410,175
PL47,214,0
PL49,214,121
J19,138,87
J24,34,3
J25,30,0
J26,31,7
J64,330,242
B19,860,640
B44,1080,708
SK27,693,536
TE13,143,107
SK96,385,313
AR2L,4,0
A10,62,34
A8,48,27
B95,359,271
B96,242,175
AV1,277,62
H4,102,29
H17,229,88
H18,336,155
Y16,173,107
S102,674,539
BKE1,5,0
BKE9,38,0
Y17,459,327
JM16,534,311
JM17,954,721
SK67,564,430
PL36,382,247
SK65,565,411
SK64,391,273
CR1,124,0
BBB,193,69
BM31,622,372
CSM,260,111
FRM,264,97
GE1B,64,27
GE1C,128,12
GEM,231,153
HG15,123,36
HG16,73,24
HG37,256,188
HG38,1076,671
HG45,458,286
HG46,242,155
HG88,699,526
HG9,247,167
HG9T,147,19
JCM,372,82
JCML,2,0
K10,96,26
KAM,396,222
KAML,5,2
KM1,424,315
MP14,60,0
MP15,23,0
MP16,22,0
MP19,511,297
PR3,384,233
PR6,337,167
PRM,576,202
SIM4,590,413
T55,8,0
TAM1,425,272
KE1,858,493
EI3,265,146
HR1,78,42
HR2,167,93
HR3,207,86
HR4,69,0
HR5,91,65
B24,150,14
B25,138,49
B69,370,278
T77,24,0
TAM2,533,126
BJ25,264,187
BJ26,192,113
BJ62,68,37
TWM2,674,598
HG87,778,629
HG90,784,596
HG91,785,579
SD11,82,6
BRM,469,311
W94,368,279
JM21,459,364
JM24,786,707
T43,224,128
T44,229,100
T45,339,216
T46,297,167
TM19,100,89
TM20,234,164
BR9,50,30
Q73,49,4
Q70,30,15
Q67,81,63
J66,77,18
J67,156,86
J68M,276,221
PP6,111,17
SIM6,251,144
KJ1,170,102
KJ2,104,58
B26,225,151
B27,268,146
GMLM,1530,1347
GM2,65,0
GM3,56,0
GM5,118,11
GM2A,146,68
GM6B,232,151
KJM2,467,347
HVM,587,389
T1,413,235
T3,277,175
T7,110,64
T8,211,81
KJ3,334,67
KJM1,265,174
KJ4,182,69
CVBK,444,221
BKRM,278,181
U52,952,725
CK62,1466,1159
CK63,866,429
CK64,455,381
P8,379,285
P9,382,294
PL53,424,301
RC2,186,118
RC3,267,168
SK66,520,206
BRM1,335,218
Y36,287,155
CK11,393,288
CK35,345,274
K19,96,52
SK18,663,663
J17,162,117
J20,365,252
HE9,89,35
JM20,917,796
PM24,295,224
PR14,84,54
BRM5,376,271
BRM6,467,334
H6,212,119
P7,896,439
CK58,904,664
W11,303,161
W11M,310,197
BJ13,352,230
C11,134,50
C29,189,75
C30,211,145
C31,145,71
C33,805,525
C34,147,73
C35,647,414
C36,86,37
C37,423,119
C38,265,126
CKM2,301,192
CTM1,266,175
JMB2,666,447
JMB3,577,353
U11,60,10
U7,291,168
U8,121,68
A49,179,99
A76,818,662
U50,37,25
T57,22,10
T78,266,155
PM43,340,253
PM44,350,262
T73,275,151
BKE4,43,15
W69,495,398
PL12,747,567
PL13,375,372
SK46,646,642
SK47,632,624
JSA1,63,32
TJ39,7,0
TM6,809,794
TM7,245,177
AR7L,4,0
CK75,1494,1253
CK76,755,577
W70,298,239
W74,381,293
CK65,69,30
SB1,435,334
SB6,518,416
WGL,390,221
P71L,5,2
TBM,307,181
B81,622,507
B92,757,471
Y34,1189,777
Y34A,233,158
B67,334,208
T74,220,150
TM10,287,184
TM9,20,5
SE12,722,499
CK70,620,569
CK71,371,271
CK77,798,663
SK34,1044,1015
SK35,496,339
B21,555,375
W517,1158,906
TM33,369,281
TM34,435,304
B89,287,155
Q94,25,1
W20,781,535
Y40,763,516
A100,64,41
A73,414,119
A74,185,118
Q66,102,24
SK55,123,0
TM35,632,458
BL22,358,201
JM32,410,255
PL17,609,489
PL20,617,501
PL22,379,298
PL26,375,298
BLM,556,418
HG71,685,492
TM23,242,171
TM24,344,254
W108,76,16
JM2,300,0
JM3,547,460
JM4,435,352
JM11,573,502
JM26,571,461
JM27,537,460
JSR2,593,522
UBM1,914,738
KB18,36,17
KB20,225,148
W578,400,335
W579,418,325
Y45M,567,370
HG42,701,394
KE2,209,139
KE4,133,71
BJ29,664,528
T72,640,328
A4,337,238
A24,214,80
GEML,3,0
W509,583,442
W516,574,461
HG1B,659,468
BJ24,258,160
BJ27,305,259
B11,1011,652
W86,465,384
W89,524,421
BJ66,868,746
BJ67,940,824
TB18,71,40
TM48,210,151
AR1L,4,0
PL56,670,548
PL60,558,414
B50,581,366
W71,377,303
PL61,938,646
PM21,428,315
Y43,716,497
B54,170,45
B91,46,32
B57,426,261
TJ35,365,261
TJ38,293,236
BL17,443,330
P13,164,120
PL66,534,410
HG12,290,151
HG13,150,116
HG14,504,304
DWSV,527,523
T48,648,388
TM45,277,213
B40,540,339
W527,660,499
W536,326,141
T76,322,199
KE3,1018,688
W676,206,107
PR2,791,434
Y25,608,424
Y25M,114,78
HG34,360,181
B79,1719,1265
HG35,315,159
SE37,85,50
SE42,352,245
SE43,32,22
PL54,497,399
PL55,364,280
PL62,300,247
KU2,477,303
KU3,337,196
KU4,474,297
KU1,586,345
KU9,101,0
BR11,268,189
BR12,57,44
HG24,325,172
HG29,232,132
CR6,79,4
SB17,563,483
SB20,359,307
SB25,524,419
SB32,143,103
KE3M,255,209
BL23,631,426
TM50,284,192
PL57,521,368
PL58,566,397
SD1,159,96
PR10,725,515
PM20,814,557
P16,150,107
T12,250,108
T13,392,171
CAM,480,257
CKM7,537,420
CKM8,492,394
HG1C,566,356
W56,537,464
W889,567,474
W56L,10,0
W887,286,201
MNM,453,317
T25,170,84
W505,368,273
PM15,1000,996
A59,172,101
BJ21,183,101
BJ63,1640,1466
PM4,809,795
PM5,325,215
PM2,1000,992
PM9,220,137
PRS1,21,8
W76,480,377
W77,388,305
W78,442,351
PM22,355,286
PR12,392,271
DWST,366,365
Y51,483,276
Y51M,486,335
Y53M,397,294
Y59M,248,178
Y60M,383,327
Y61M,553,427
T24,204,140
A7,238,183
A36,680,455
A47,303,184
PM35,361,267
P14,602,446
P15,90,68
P17,135,96
T11,250,104
T9,570,362
C21L,10,6
A51,35,0
AM19,300,210
W8M,217,156
CK14,371,234
SMM,864,538
W103,339,275
W109,22,9
W75,375,313
W53,397,266
W72,524,524
W73,440,334
T49,468,147
T49A,164,126
PR4,1117,705
TBC2,264,187
Y32,382,258
Y31,313,221
BJ19,491,322
CK15,246,131
CK6,40,21
CK6A,300,208
P11,49,38
PM46,237,140
HG1A,563,407
HG36,220,137
HG53,201,63
HG56,20,7
HG80,437,346
Y68M,595,432
Y68L,6,2
W90,499,413
W91,414,314
DRM1,448,369
DRM3,285,233
DRM4,104,43
DRM5,84,51
DRS,1325,1279
BJ20,235,159
BJ68,253,172
DRM2,392,295
TM51,330,235
W67,246,197
W717,114,82
SI13,689,438
Y63M,390,304
Y64M,427,329
A21,633,453
A29,435,254
A63,715,492
A88,44,26
SB10,549,489
SB11,444,348
SB13,1267,1036
SB12,798,660
W65,360,240
W66,340,225
T38,974,660
T39,746,473
TM41,272,194
W83,448,354
W84,499,373
CK18,98,58
SE51,280,178
HG33,496,311
A77,267,172
A78,546,323
SB7,421,360
SB8,296,231
SB9,486,443
W41,251,158
W55,373,260
Y29,26,0
BE34,303,190
BE35,190,99
Y65M,500,402
Y66M,412,311
BJ58,850,724
W98,1494,1202
W61,1209,833
TM47,655,493
T7A,283,232
B23M,864,652
A13,154,65
SH1,607,433
BJ50,854,698
BJ53,1064,895
BJ54,625,524
H93L,38,15
HG93,899,686
HG98,304,201
BJ61,470,339
CKM4,537,419
CK74,855,632
CK78,1712,1500
KJML,5,0
KRM,173,109
C29A,102,34
CLRG,487,351
CLTR,890,696
BE18,560,316
BE44,424,345
PDC5,185,132
PDP5,140,114
GM1M,1530,1104
CK1,331,176
PDR2,222,84
PDR6,248,187
Y14,641,466
SK1,657,449
SK8,659,541
SK61,713,555
BRM7,360,261
TPMR,374,276
Y1,134,15
Y2,399,158
Y54M,434,278
PDR7,169,0
PDS1,346,209
PDT8,45,23
PDW7,171,8
CCKC,53,32
UBM2,485,369
BL8L,6,0
Y30M,249,121
WCC,190,76
SB47,182,134
P73L,4,3
S116,227,155
DWSO,613,417
BKE3,17,4
BKE2,17,1
S114,336,249
DSR1,225,176
DSR2,616,490
DSRL,4,4
BJ69,428,328
BJ71,312,245
BJ72,200,139
SK54,500,372
HG1F,469,431
CK79,500,433
Y80M,363,256
S115,342,246
SK31,100,0
SE12,0,0
A55,767,304
Y49H,27,17
U67,483,353
Y81M,520,383
TPMQ,662,499
SK82,66,26
SK84,611,445
S103,366,272
SK76,337,239
SK79,253,174
KAS,26,0
SLS,79,12
U60,558,401
U58,850,597
TW4,266,144
BE19,380,231
BE22,8,0
PL71,732,504
S107,414,271
U55,350,229
W96,756,625
W25,450,251
Y45,311,247
Y46,593,383
J47,34,0
AM43,465,335
BJ4,752,550
BJ8,957,675
CK66,164,89
J35,165,79
CKM5,2754,2581
