Timestamp: 2023-06-20T23:01:26+08:00
Carpark Number,Total Lots,Lots Available
BJ65,224,51
CK19,70,10
CK4,10,3
CK42,453,99
CK7,298,213
TW1,108,15
TW2,355,95
TW3,338,106
SK49,120,10
B16,364,169
B17,385,175
B20,385,121
B42,123,64
B45,67,29
B6,521,432
B63,99,34
B65,756,212
B7,86,30
B70,41,28
B71,249,125
B7A,129,0
B8,113,51
B80,250,234
B84,555,551
B90,75,75
CC5,104,50
CC6,41,28
B30,353,108
B31,415,219
TJ28,755,454
TJ31,833,335
TJ37,384,384
AM16,115,62
AM32,91,1
BJ2,385,65
CK48,287,120
BE8,544,294
SE11,198,93
SE20,548,514
SE21,29,18
SE22,20,9
SE23,185,149
SE24,167,120
SE53,309,291
SK50,89,0
FR4M,88,33
BJ31,88,12
BJ32,484,271
BJ34,140,50
BJ35,140,49
BJ36,140,38
BJ37,512,276
TP31,50,0
BJ38,216,107
BJ39,550,350
BJ40,585,244
CK38,344,113
A38,938,418
A43,141,2
CK8,750,212
CK8A,373,267
CK39,371,115
CK41,444,172
CK46,673,287
CK47,695,533
SE32,396,47
SE33,302,28
SE39,198,51
BJ43,1004,678
CK22,378,147
CK36,420,179
CK37,306,113
A25,543,266
A81,118,21
A82,201,64
A9,146,66
A98,108,59
BJ55,873,507
BJ56,554,231
CK44,285,133
CK45,220,28
SE35,300,91
SE38,300,104
SE40,407,119
BJ30,611,361
CK16,202,0
CK49,767,350
CK50,374,248
CKT1,104,14
CK51,318,136
CK12,218,54
CK13,326,105
CK17,185,18
CK30,136,7
CK31,290,132
BJ41,389,173
CK20,931,346
CK23,232,143
CK34,318,80
CKM1,669,573
BJ1,457,122
BJ48,672,282
CK33,235,72
A37,193,107
A39,200,36
A68,158,1
A70,134,103
A71,185,104
CK40,500,297
A40,520,282
A66,149,26
A69,476,343
A30,12,1
AM80,191,71
AM81,222,120
CC7,220,99
B88,385,155
H87L,500,486
B66,585,257
B53,197,38
B52,300,79
B51,322,141
NT6L,6,0
TWM6,224,165
B35,197,55
B34,274,175
B33,129,52
B32,124,44
KB17,50,18
KB10,164,90
KB11,209,96
SD9,41,3
W54,267,119
BE23,563,549
Y52M,361,123
Y9,262,144
Y20,60,20
Y10,1145,517
PM30,351,78
PM3,388,166
TWM3,1000,789
CK61,1272,960
CK60,1318,1033
SK91,381,199
SK75,167,20
SK74,225,94
SK88,369,172
SK71,233,60
SK43,317,196
SK70,162,33
SK92,296,140
SK80,354,101
SK72,200,52
SK73,208,99
SK83,94,0
SK86,374,192
SK78,264,91
SK68,233,69
SK3,700,355
SK58,1164,611
SK62,646,473
SK87,113,36
CK3A,517,403
CK3,282,87
CK55,356,52
CK29,26,0
CK28,184,95
AM22,289,117
AM20,676,395
AM18,451,86
A20,83,0
A65,97,47
A60,517,237
A50,206,27
HG22,116,9
CK25,161,30
CK24,48,11
STAM,274,83
AM79,472,251
A34,220,102
AM96,525,243
A85,93,29
A72,358,140
A67,712,304
SK51,10,0
BMVM,361,304
HE3,148,0
TB2,51,5
JKM,360,0
JKS,42,2
SPM,719,709
FR2C,256,101
GM1A,414,228
AR5M,419,270
AR9,64,6
C5,361,155
C9,316,102
U46,241,74
U15,419,141
U3,159,60
U32,128,41
B75,329,258
U38,115,0
U10,214,34
C8,347,185
J60M,543,494
J38,27,5
UBKM,343,198
UBK2,287,73
UBK5,143,66
NT7L,4,1
U17,427,86
U4,259,57
U1,516,152
TGML,4,3
BRBL,11,7
BL18,391,242
BRB1,168,142
J61,779,194
J73,713,269
J74,367,53
U39,248,230
U40,288,254
U41,30,18
C3M,882,255
C4M,392,191
J70,147,7
J75M,326,102
JM15,490,342
JM18,559,298
C24,450,60
C27,16,0
KTM5,512,486
KTM6,252,248
BP2,466,141
BBM3,1210,537
BBM5,951,399
U33,290,74
U34,303,77
J84M,285,104
J85M,166,0
Q84,260,128
Q87,430,102
Q89,435,80
BM5,46,3
TB1,58,0
TB3,154,127
TB9,77,12
TBC3,106,0
C26,35,0
C25,154,51
C22M,188,160
JM7,1165,746
JM30,754,452
J72,220,0
J69,222,26
JM23,793,227
JM19,1176,523
U43,270,105
NT7,383,207
W21,495,89
W24,557,107
M25,424,186
M3,126,0
M4,470,186
MM1,176,89
MM2,563,421
MM4,288,184
UA2,73,8
UA3,245,36
UA5,337,109
UAM1,466,306
JM31,180,109
BBM9,1200,423
C21M,383,175
U13,661,178
C13M,280,110
C12,323,135
C14M,212,95
C10,767,280
BL10,239,100
BL19,369,154
BL3,196,34
J50,427,49
J60L,10,5
J62,700,0
J62M,200,144
J63,150,10
J65,1083,445
J71,450,0
J76M,415,215
J77M,350,185
J78M,458,115
J79M,337,148
J80M,441,150
J81M,466,134
J82M,535,201
J83M,172,60
J86M,191,66
J88M,603,366
J89M,591,359
J98M,489,341
J99M,502,339
JM10,367,182
JM13,1061,648
JM22,538,536
JM25,1033,582
JM28,1302,821
JM29,641,387
TBM3,385,318
TBM4,503,346
BJ49,1481,721
Y11,678,256
Y8,697,277
Y13,262,68
Y3,403,117
Y3M,206,63
Y39,224,70
Y48,485,136
Y48M,257,163
Y15,335,120
Y4,807,264
Y27,286,73
Y49,566,147
Y21M,367,196
Y28,297,116
Y28M,375,227
Y33,101,25
Y49M,267,189
Y49L,19,7
U71,89,65
Y7,667,215
Y57,18,0
Y21,77,22
SB19,789,414
SB24,387,202
S19L,4,3
S24L,2,0
SB2,383,228
SB16,714,480
SB26,1401,836
SB27,395,283
SB28,498,341
SB3,359,160
SB15,1549,1053
SB4,272,155
SB5,395,202
SB18,644,401
SB21,1454,827
SB29,628,406
SB30,922,710
SB31,202,92
SB23,550,314
SB22,715,434
SB34,63,0
SK36,1336,767
SK37,538,342
SK42,465,286
SK23,674,424
SK10,394,196
SK19,609,281
SK20,283,188
SK11,362,165
SK45,556,327
SK4,593,344
SK77,412,91
SK16,429,208
SK63,494,253
SK7,539,352
MR4,35,7
CR7,183,69
KB4,408,195
JRM,280,164
SD5,64,30
KB12,181,81
UBK4,53,22
SD2,29,5
SDM2,135,40
SG3,143,39
NBRM,395,282
SG2,103,44
SDM,192,170
SD3,102,88
W107,50,7
W30,285,163
W28,27,0
W44,245,15
W45,324,94
W7,128,54
W19,322,0
W780,350,144
W101,486,312
W13,272,29
W48,291,109
W102,452,221
W37,50,0
W52,285,91
W64,352,158
W17,411,98
W18,563,173
W58,382,189
W5,355,199
W5M,213,90
W23,628,190
W40,304,113
W49,833,363
W50,254,201
W51,304,242
W36,539,139
W10,116,44
W6,57,0
W181,275,90
W14,328,39
PM6,412,124
PM17,398,149
PM14,428,181
PM29,412,197
PM16,245,101
PM18,247,83
PM11,227,83
PM7,239,102
PM13,435,105
PM45,522,137
PM41,359,88
PR1,301,31
PM19,437,316
PM40,267,53
PM37,293,134
PM36,671,246
SK93,472,295
SK2,360,193
SK60,867,513
SK15,1358,803
SK17,677,539
SK12,354,165
W4,75,29
SK22,507,291
SK21,653,361
SK13,355,134
SK6,473,338
CK52,2064,1735
P1,314,151
P2,293,106
P3,658,327
P4,411,137
P5,520,201
P5L,4,0
P6,547,263
P6L,6,6
PL14,741,472
PL15,500,321
PL25,283,112
PL29,298,88
PL30,204,48
PL31,222,72
PL32,203,74
PL33,48,0
PL39,430,177
PL40,243,34
PL41,458,156
PL42,598,193
PL44,55,20
PL45,354,106
PL46,428,89
PL48,476,133
J10,175,48
J11,129,74
CK32,433,369
BJ51,553,317
BJ52,319,168
SK25,407,328
SK26,430,361
SK32,528,432
SK33,546,535
HG11,817,252
PL68,366,174
PL69,699,343
MLM,277,120
CR2,33,13
CR3,30,3
W57,483,177
BE36,82,39
BE37,402,273
BE38,31,1
BE42,852,433
BE7,119,1
SE13,421,172
SE16,674,244
SM1,89,34
SM3,149,85
JB3,33,11
JB4,147,90
K2,95,0
K2T,73,69
KM2,177,78
KM3,535,337
TRS,269,262
ACM,290,177
GE1A,792,399
GE1F,50,3
GE1G,45,3
GE2,194,79
GE3,355,169
GE5,253,65
JB1,70,3
JB2,55,0
K7,159,21
KM4,429,314
LT1,260,99
LT2,74,6
LT3,244,30
M1,312,134
M32,352,145
MP1,159,42
MP17,87,56
MP2,616,134
MP5,162,125
MP5M,159,3
MP5S,33,1
MP6,76,42
MP7,212,78
SK9,456,448
SK14,444,444
BE10,625,239
BE11,352,175
BE13,220,124
BE14,332,186
BE26,65,0
BE27,344,207
BE28,304,0
BE29,48,0
BE30,345,197
BE31,300,231
BE32,200,67
BE4,770,314
BE5,647,234
BE6,170,99
BE9,711,213
CLM,245,170
BM14,94,34
BM19,36,4
BM20,60,36
BM4,150,22
BM6,30,0
BVM2,504,408
CM1,962,687
H12,356,176
H14,220,117
H3,148,16
H8,82,62
HCM,386,309
HE1,21,0
HE19,93,41
HE24,37,0
HE4,124,4
JMB1,492,317
JRTM,433,305
KTM,247,72
KTM2,429,213
KTM3,465,341
KTM4,380,227
LBM,169,105
PP9T,131,88
RHM2,222,128
RHM3,646,520
RHM4,282,95
RHS,12,0
HG30,433,263
HG31,85,12
HG32,270,69
HG39,204,158
HG47,432,390
HG48,837,289
HG49,776,154
HG50,490,131
HG51,204,16
HG52,192,4
HG54,240,110
HG55,88,85
HG60,371,240
HG61,311,136
HG62,345,231
HG67,705,151
HG68,248,115
HG69,187,45
HG7,757,275
HG70,348,158
HG76,270,120
HG77,423,258
HG78,490,260
HG79,401,161
HG89,387,313
HG94,896,535
HG95,168,149
HG96,39,20
HG97,43,42
HG99,162,49
J12,243,117
J14,192,57
J15,205,44
J16,212,81
J18,171,71
J22,231,40
J23,299,100
J23M,249,115
J8,377,137
J9,189,31
J90,1294,724
J91,587,335
J92,447,253
J93,483,250
J94,421,249
J95,467,217
J96,444,288
J97,411,324
BBM2,285,131
U12,773,234
CK56,1023,789
CK57,590,322
U51,350,315
B59,386,146
B60,272,96
B97,553,253
CC12,131,39
SK39,517,270
SK81,200,56
P40L,6,1
PM10,355,98
PM25,508,178
PR7,218,27
MR5,105,40
MR6,105,45
MR7,105,45
SG1,294,104
SGLM,230,119
W4M,355,216
W59,434,149
W554,376,222
W549,429,214
W81,300,145
SK28,460,342
W586,360,228
W588,358,178
SK29,526,120
W26,20,12
W27,4,2
PM8,330,180
PR8,158,1
SK69,264,131
AH1,278,132
BR14,78,24
RC1,164,63
TP12,82,35
TP15,85,16
TP20,90,18
TP22,183,106
TP3,215,172
TP30,31,0
TP34,187,29
TP3A,200,54
TP40,360,99
TP41,134,13
TP43,114,59
TP48,20,0
TP52,456,223
TP53,323,118
TP54,256,110
TP60,275,72
TP62,162,73
TP63,114,28
TP67,183,0
TP7,187,97
TP8,189,91
TPB1,200,110
TPM2,211,49
TPM3,370,215
TPM7,200,36
TPM8,800,378
TPM9,852,840
TPMA,505,283
TPMB,601,412
TPMC,633,490
TPMD,145,91
TPME,172,140
TPMF,458,239
TPMH,246,158
TPMJ,657,325
TPMK,173,66
TPML,266,99
TPMM,259,72
SK24,779,100
HG17,225,53
HG75,823,611
HG86,404,209
HG92,1010,721
Q86,320,110
Q19,20,5
MLM1,200,91
STM1,148,43
STM2,199,93
STM3,100,0
Q88,218,91
Q8,149,41
CDM,343,121
PL16,153,29
PL19,291,29
PL24,749,523
PL38,399,203
PL50,192,72
PL51,321,118
CK2,464,161
A28,84,14
A31,310,76
A44,157,49
A27,251,103
A75,354,150
SE41,754,537
A2,188,87
A94,234,117
HG1D,175,74
CK54,628,326
HE17,120,83
SPS,98,60
TB10,213,23
TB11,154,20
TB22,20,1
TB23,50,46
TB28,18,0
TB4A,46,40
TB6,133,75
TB7,194,129
TB8,85,54
TBCM,593,252
TE1,90,9
YHS,64,41
JM5,1399,766
JM6,702,480
JM8,478,364
JM9,345,181
TJ27,223,48
TJ29,306,225
TJ30,745,328
TJ32,543,178
TJ33,441,181
TJ36,305,146
TP4A,296,154
CV1,208,158
CV3,86,50
PM32,453,174
PM33,448,160
PM34,441,163
Y19,1178,434
Y18,247,82
Y26,304,148
S28L,8,5
CV2,31,24
S30L,24,0
SK30,426,363
SK31,618,517
SK38,656,492
SK59,17,2
W79,490,262
W80,322,199
W87,401,216
W88,443,273
W92,389,192
SK94,520,393
SD4,41,18
PM12,173,76
MP3M,400,134
MP4M,302,301
PM38,248,95
EPL,18,0
B86,160,67
MP2M,616,245
W799,400,318
BE25,263,148
BE33,269,62
L1,178,29
SE15,486,278
SE17,436,117
SE18,279,68
SE19,558,234
SE25,239,57
SE26,214,102
SE27,380,142
SE28,186,112
SE29,333,164
SH2,173,159
W43,323,87
HG5,149,78
W46,407,179
TP68,21,16
DUXM,1095,244
TP49,296,158
TP50,296,159
SI1,337,164
SI11,208,68
SI12,168,90
SIM1,317,223
SIM2,314,214
SIM3,236,160
T34,284,79
T35,630,215
T4,301,70
T75,231,67
T80,348,156
TM11,446,203
TM12,350,145
TM13,209,123
TM14,365,131
TM17,448,147
TM18,312,85
TM21,338,151
TM22,345,136
TM28,289,85
TM29,267,116
TM3,428,202
TM30,408,198
TM31,826,238
TM32,460,283
TM4,1218,465
TM49,197,74
TM5,501,245
PL23,445,236
PL27,407,173
PL34,277,128
PL35,234,77
PL37,286,98
P34L,80,0
P35L,10,10
SI2,647,328
SI4,461,213
T32,645,195
B28,342,187
SIM5,235,140
TWM1,776,579
A52,150,58
A53,757,645
A54,767,0
AM51,269,124
B47,234,137
B48,210,72
J21,702,219
SM9,28,22
SK41,113,0
HG2,229,85
HG2B,323,194
HG4,407,163
GSM,200,25
KEM1,200,91
BR8,127,45
BR6,131,87
BR10,59,29
GSML,22,6
CK53,450,209
HG73,1052,782
W106,709,477
W104,696,471
W105,126,30
CK10,395,251
CK9,45,0
EC2,809,360
EC3,44,27
EC4,119,50
ECM,407,245
M33,125,45
CK59,458,238
CKM9,273,128
W782,383,195
SK5,668,655
PL18,615,350
PL21,615,378
PL43,417,143
PL59,669,244
PL52,587,269
PL65,466,127
W12M,459,237
W93,447,316
PM26,449,186
BJ14,63,28
BJ15,37,0
BJ16,311,242
BJ23,16,9
BJ44,994,761
BJMP,60,48
SG4,146,22
Y12,619,229
EC7,127,20
Y62M,242,108
Q68,34,14
Q65,103,40
SK89,401,191
AR1M,196,120
A35,555,252
A45,397,208
A48,66,17
A64,132,28
TB19,100,41
Y5,230,81
Q77M,607,272
Q80,31,20
Q85,148,114
W570,341,100
TB17,366,78
TBM5,423,217
TBM6,400,323
TBM7,529,358
PM23,380,289
PR13,365,113
SK95,573,414
SK90,508,365
EC8,163,145
Y6,366,96
Y58,41,9
A87,124,64
A41,308,116
A42,146,75
HG19,568,194
HG20,590,194
HG23,282,27
W82,450,261
W95,464,299
SB33,388,217
Y41,478,189
Y41M,344,255
J6,318,109
J7,938,344
W85,515,334
SK85,351,118
SI10,266,105
SI6,39,12
SI7,359,111
SI8,115,64
SI9,179,31
T20,380,133
T30,223,122
T31,205,61
T79,456,159
T81,685,239
TM15,299,117
TM16,284,106
TM44,216,134
Q17,26,15
Q96,237,120
HG74,316,164
B41,26,0
B43,217,79
B46,70,62
B49,183,69
B72,412,141
B73,50,35
B74,365,137
B7B,21,17
B83,212,112
B85,559,338
B94,438,253
B94A,186,58
B99M,508,241
CC1,87,87
CC10,228,111
CC11,417,181
CC4,387,63
CC8,147,3
CC9,117,48
PL10,560,310
PL11,548,403
PL28,363,207
BR4,321,197
Q75M,509,300
C18A,36,17
C16,280,127
C18,124,55
AR2M,696,137
AR7M,295,130
W68,300,91
BL15,20,0
Q16,10,7
T26,293,0
T27,136,58
T28,228,109
T29,256,82
TM8,410,175
PL47,214,0
PL49,214,0
J19,138,31
J24,34,0
J25,30,13
J26,31,4
J64,330,307
B19,860,478
B44,1080,375
SK27,693,536
TE13,143,127
SK96,385,313
AR2L,4,0
A10,62,22
A8,48,0
B95,359,197
B96,242,137
AV1,277,217
H4,102,81
H17,229,84
H18,336,229
Y16,173,19
S102,674,539
BKE1,5,0
BKE9,38,30
Y17,459,167
JM16,534,311
JM17,954,721
SK67,564,430
PL36,382,112
SK65,565,411
SK64,391,273
CR1,124,41
BBB,193,145
BM31,622,565
CSM,260,223
FRM,264,201
GE1B,64,35
GE1C,128,90
GEM,231,223
HG15,123,90
HG16,73,32
HG37,256,67
HG38,1076,375
HG45,458,136
HG46,242,32
HG88,699,368
HG9,247,187
HG9T,147,54
JCM,372,126
JCML,2,0
K10,96,16
KAM,396,314
KAML,5,3
KM1,424,260
MP14,60,42
MP15,23,16
MP16,22,9
MP19,511,488
PR3,384,138
PR6,337,229
PRM,576,461
SIM4,590,402
T55,8,0
TAM1,425,306
KE1,858,134
EI3,265,76
HR1,78,11
HR2,167,43
HR3,207,85
HR4,69,24
HR5,91,56
B24,150,0
B25,138,0
B69,370,187
T77,24,0
TAM2,533,216
BJ25,264,100
BJ26,192,13
BJ62,68,17
TWM2,674,507
HG87,778,478
HG90,784,405
HG91,785,406
SD11,82,32
BRM,469,197
W94,368,267
JM21,459,213
JM24,786,557
T43,224,68
T44,229,63
T45,339,113
T46,297,98
TM19,100,86
TM20,234,69
BR9,50,35
Q73,49,0
Q70,30,2
Q67,81,61
J66,77,36
J67,156,64
J68M,276,236
PP6,111,69
SIM6,251,49
KJ1,170,92
KJ2,104,46
B26,225,81
B27,268,105
GMLM,1530,1347
GM2,65,43
GM3,56,44
GM5,118,100
GM2A,146,49
GM6B,232,168
KJM2,467,293
HVM,587,256
T1,413,156
T3,277,106
T7,110,63
T8,211,156
KJ3,334,171
KJM1,265,136
KJ4,182,84
CVBK,444,117
BKRM,278,177
U52,952,381
CK62,1466,707
CK63,866,429
CK64,455,256
P8,379,159
P9,382,195
PL53,424,165
RC2,186,55
RC3,267,103
SK66,520,206
BRM1,335,150
Y36,287,73
CK11,393,174
CK35,345,166
K19,96,18
SK18,663,663
J17,162,70
J20,365,111
HE9,89,50
JM20,917,566
PM24,295,186
PR14,84,8
BRM5,376,201
BRM6,467,193
H6,212,100
P7,896,429
CK58,904,453
W11,303,49
W11M,310,110
BJ13,352,45
C11,134,55
C29,189,138
C30,211,109
C31,145,46
C33,805,304
C34,147,33
C35,647,265
C36,86,11
C37,423,255
C38,265,72
CKM2,301,156
CTM1,266,147
JMB2,666,442
JMB3,577,212
U11,60,0
U7,291,141
U8,121,13
A49,179,63
A76,818,570
U50,37,23
T57,22,11
T78,266,64
PM43,340,159
PM44,350,171
T73,275,94
BKE4,43,15
W69,495,257
PL12,747,379
PL13,375,372
SK46,646,642
SK47,632,624
JSA1,63,42
TJ39,7,3
TM6,809,798
TM7,245,106
AR7L,4,4
CK75,1494,992
CK76,755,312
W70,298,137
W74,381,199
CK65,69,8
SB1,435,226
SB6,518,311
WGL,390,93
P71L,5,1
TBM,307,162
B81,622,401
B92,757,402
Y34,1189,499
Y34A,233,134
B67,334,54
T74,220,82
TM10,287,77
TM9,20,0
SE12,722,332
CK70,620,526
CK71,371,125
CK77,798,522
SK34,1044,1015
SK35,496,339
B21,555,221
W517,1158,670
TM33,369,168
TM34,435,152
B89,287,118
Q94,25,0
W20,781,301
Y40,763,272
A100,64,33
A73,414,180
A74,185,40
Q66,102,80
SK55,123,0
TM35,632,310
BL22,358,194
JM32,410,243
PL17,609,352
PL20,617,371
PL22,379,208
PL26,375,203
BLM,556,327
HG71,685,279
TM23,242,58
TM24,344,146
W108,76,41
JM2,300,175
JM3,547,318
JM4,435,249
JM11,573,384
JM26,571,325
JM27,537,339
JSR2,593,394
UBM1,914,595
KB18,36,0
KB20,225,131
W578,400,222
W579,418,218
Y45M,567,171
HG42,701,66
KE2,209,61
KE4,133,13
BJ29,664,324
T72,640,207
A4,337,134
A24,214,128
GEML,3,0
W509,583,276
W516,574,384
HG1B,659,282
BJ24,258,45
BJ27,305,206
B11,1011,435
W86,465,278
W89,524,303
BJ66,868,615
BJ67,940,730
TB18,71,9
TM48,210,96
AR1L,4,0
PL56,670,367
PL60,558,220
B50,581,175
W71,377,197
PL61,938,345
PM21,428,233
Y43,716,221
B54,170,47
B91,46,38
B57,426,177
TJ35,365,121
TJ38,293,135
BL17,443,179
P13,164,75
PL66,534,273
HG12,290,62
HG13,150,97
HG14,504,140
DWSV,527,523
T48,648,161
TM45,277,125
B40,540,239
W527,660,327
W536,326,141
T76,322,79
KE3,1018,451
W676,206,178
PR2,791,189
Y25,608,292
Y25M,114,51
HG34,360,8
B79,1719,905
HG35,315,68
SE37,85,23
SE42,352,158
SE43,32,0
PL54,497,298
PL55,364,213
PL62,300,182
KU2,477,149
KU3,337,85
KU4,474,143
KU1,586,263
KU9,101,0
BR11,268,106
BR12,57,22
HG24,325,68
HG29,232,60
CR6,79,4
SB17,563,421
SB20,359,251
SB25,524,271
SB32,143,51
KE3M,255,176
BL23,631,316
TM50,284,103
PL57,521,180
PL58,566,263
SD1,159,24
PR10,725,345
PM20,814,348
P16,150,66
T12,250,108
T13,392,171
CAM,480,186
CKM7,537,291
CKM8,492,227
HG1C,566,163
W56,537,382
W889,567,381
W56L,10,7
W887,286,107
MNM,453,204
T25,170,33
W505,368,176
PM15,1000,997
A59,172,20
BJ21,183,33
BJ63,1640,1261
PM4,809,800
PM5,325,116
PM2,1000,992
PM9,220,14
PRS1,21,7
W76,480,276
W77,388,205
W78,442,236
PM22,355,257
PR12,392,117
DWST,366,365
Y51,483,103
Y51M,486,131
Y53M,397,171
Y59M,248,71
Y60M,383,259
Y61M,553,295
T24,204,93
A7,238,125
A36,680,299
A47,303,107
PM35,361,140
P14,602,335
P15,90,53
P17,135,47
T11,250,69
T9,570,202
C21L,10,6
A51,35,7
AM19,300,114
W8M,217,90
CK14,371,37
SMM,864,379
W103,339,200
W109,22,6
W75,375,210
W53,397,121
W72,524,256
W73,440,231
T49,468,155
T49A,164,102
PR4,1117,363
TBC2,264,146
Y32,382,142
Y31,313,111
BJ19,491,101
CK15,246,0
CK6,40,0
CK6A,300,234
P11,49,42
PM46,237,46
HG1A,563,225
HG36,220,63
HG53,201,22
HG56,20,0
HG80,437,255
Y68M,595,246
Y68L,6,4
W90,499,303
W91,414,255
DRM1,448,349
DRM3,285,203
DRM4,104,15
DRM5,84,30
DRS,1325,1294
BJ20,235,15
BJ68,253,114
DRM2,392,223
TM51,330,183
W67,246,145
W717,114,64
SI13,689,240
Y63M,390,179
Y64M,427,228
A21,633,335
A29,435,199
A63,715,342
A88,44,0
SB10,549,392
SB11,444,270
SB13,1267,826
SB12,798,539
W65,360,112
W66,340,118
T38,974,369
T39,746,254
TM41,272,156
W83,448,228
W84,499,223
CK18,98,17
SE51,280,118
HG33,496,109
A77,267,88
A78,546,413
SB7,421,273
SB8,296,135
SB9,486,367
W41,251,50
W55,373,150
Y29,26,0
BE34,303,134
BE35,190,0
Y65M,500,298
Y66M,412,185
BJ58,850,576
W98,1494,922
W61,1209,517
TM47,655,339
T7A,283,238
B23M,864,493
A13,154,47
SH1,607,264
BJ50,854,478
BJ53,1064,713
BJ54,625,384
H93L,38,22
HG93,899,437
HG98,304,54
BJ61,470,175
CKM4,537,258
CK74,855,315
CK78,1712,1258
KJML,5,2
KRM,173,81
C29A,102,57
CLRG,487,199
CLTR,890,518
BE18,560,127
BE44,424,274
PDC5,185,140
PDP5,140,114
GM1M,1530,772
CK1,331,51
PDR2,222,181
PDR6,248,219
Y14,641,307
SK1,657,223
SK8,659,402
SK61,713,431
BRM7,360,220
TPMR,374,157
Y1,134,80
Y2,399,176
Y54M,434,302
PDR7,169,23
PDS1,346,282
PDT8,45,39
PDW7,171,101
CCKC,53,50
UBM2,485,299
BL8L,6,3
Y30M,249,148
WCC,190,175
SB47,182,78
P73L,4,3
S116,227,94
DWSO,613,448
BKE3,17,0
BKE2,17,5
S114,336,133
DSR1,225,148
DSR2,616,471
DSRL,4,4
BJ69,428,215
BJ71,312,195
BJ72,200,65
SK54,500,250
HG1F,469,440
CK79,500,450
Y80M,363,172
S115,342,178
SE12,0,0
A55,767,294
Y49H,27,3
U67,483,185
Y81M,520,246
TPMQ,662,361
SK82,66,12
SK84,611,267
S103,366,172
SK76,337,97
SK79,253,48
KAS,26,14
SLS,79,37
U60,558,188
U58,850,311
TW4,266,54
BE19,380,286
BE22,8,0
PL71,732,274
S107,414,143
U55,350,116
W96,756,439
W25,450,93
Y45,311,152
Y46,593,216
J47,34,7
AM43,465,205
BJ4,752,314
BJ8,957,368
CK66,164,22
J35,165,42
CKM5,2754,2343
CKM6,935,602
GM6A,167,69
SB41,464,249
